Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
80,2021-06-01 09:25,Gang Shit No Lame Shit,Key Glock,5473,66,06kxa3al7bUqRRo5nAFduZ,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,222400
81,2021-06-01 12:03,Baarishein,Anuv Jain,207309,85,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600
82,2021-06-01 12:04,Sideways,ILLENIUM,4781,66,2O9O26335YYVckmRgPKY3s,0.524,0.882,5,-3.038,1,0.0367,0.108,1.1e-06,0.071,0.399,119.94,204547
83,2021-06-01 12:08,Nightlight,ILLENIUM,206640,82,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
84,2021-06-01 12:21,Night Changes,One Direction,63060,36,3I4cCWNM3jK1Hhk5Qs3rPF,0.292,0.945,4,-6.772,1,0.193,0.178,0.0767,0.348,0.0615,162.172,300173
85,2021-06-01 14:05,Alive,Empire of the Sun,204546,66,7hn8Q8WAxFdL4aZ159GI7C,0.272,0.281,10,-8.131,1,0.0307,0.618,0.0,0.111,0.152,138.856,305893
86,2021-06-01 14:08,A Thousand Years,Christina Perri,827,40,3b34OS7148VGiURvWTYweJ,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
87,2021-06-01 14:08,I Know It's You,Guards,69233,81,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
88,2021-06-01 14:13,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,305893,81,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
89,2021-06-02 01:13,Sygrayem (Let's Play),Carlos Rafael Rivera,0,50,44LTFkrvoxE2qflp8GEqKw,0.472,0.612,0,-10.982,1,0.0424,0.448,0.823,0.41,0.499,92.998,109896
90,2021-06-02 06:27,Experience,Ludovico Einaudi,328695,52,6bdq6oMieSnPmcwrolEQgV,0.0916,0.0271,0,-27.397,0,0.0404,0.945,0.847,0.0892,0.0594,55.269,127615
91,2021-06-02 06:27,Experience,Ludovico Einaudi,18504,41,62G1ewSNbKaxSMqcmfgxeq,0.437,0.022,11,-29.447,0,0.04,0.976,0.916,0.11,0.0791,99.971,74046
92,2021-06-02 06:29,Main Title,Carlos Rafael Rivera,109896,41,3mPt3UzwsHD5YBgui50BED,0.322,0.257,5,-19.638,1,0.0359,0.387,0.906,0.0889,0.0378,60.344,78496
93,2021-06-02 06:31,Beth's Story,Carlos Rafael Rivera,127615,42,0Bnh732W1DVmnXtV6mhk1U,0.276,0.0985,5,-28.017,0,0.0342,0.989,0.907,0.0795,0.125,134.587,66448
94,2021-06-02 06:32,Methuen Home For Children 1957,Carlos Rafael Rivera,74045,45,17hoQV3FJxZnJUvccgAjLF,0.352,0.0774,9,-24.864,0,0.0345,0.946,0.877,0.118,0.138,108.077,184294
95,2021-06-02 06:34,The Scholar's Mate,Carlos Rafael Rivera,78496,95,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147
96,2021-06-02 06:36,You're Gloating,Carlos Rafael Rivera,66447,90,748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
97,2021-06-02 06:55,Training With Mr. Schaibel,Carlos Rafael Rivera,66949,89,5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064
98,2021-06-02 09:33,good 4 u,Olivia Rodrigo,178147,88,1mWdTewIgB3gtBM3TOSFhB,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442
99,2021-06-02 09:36,Kiss Me More (feat. SZA),Doja Cat,208866,91,1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704
